date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:51	37898/37898	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:10%20GMT	http://mydesignhoard.com/HTML/html/education/images/img-05.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/img-05.jpg	(from http://mydesignhoard.com/HTML/html/education/aboutvisionmission.html)
13:50:52	149049/149049	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:15%20GMT	http://mydesignhoard.com/HTML/html/education/images/img-14.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/img-14.jpg	(from http://mydesignhoard.com/HTML/html/education/abouthonorsawards.html)
13:50:54	72881/72881	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:10%20GMT	http://mydesignhoard.com/HTML/html/education/images/img-04.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/img-04.jpg	(from http://mydesignhoard.com/HTML/html/education/aboutrectormessage.html)
13:50:54	11999/11999	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:39%20GMT	http://mydesignhoard.com/HTML/html/education/images/themepost/img-11.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/themepost/img-11.jpg	(from http://mydesignhoard.com/HTML/html/education/newsgrid.html)
13:50:55	21938/21938	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:39%20GMT	http://mydesignhoard.com/HTML/html/education/images/themepost/img-10.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/themepost/img-10.jpg	(from http://mydesignhoard.com/HTML/html/education/newsgrid.html)
13:50:57	15618/15618	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:39%20GMT	http://mydesignhoard.com/HTML/html/education/images/themepost/img-12.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/themepost/img-12.jpg	(from http://mydesignhoard.com/HTML/html/education/newsgrid.html)
13:50:57	11518/11518	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:40%20GMT	http://mydesignhoard.com/HTML/html/education/images/themepost/img-13.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/themepost/img-13.jpg	(from http://mydesignhoard.com/HTML/html/education/newsgrid.html)
13:50:57	11971/11971	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:40%20GMT	http://mydesignhoard.com/HTML/html/education/images/themepost/img-14.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/themepost/img-14.jpg	(from http://mydesignhoard.com/HTML/html/education/newsgrid.html)
13:51:00	13407/13407	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:41%20GMT	http://mydesignhoard.com/HTML/html/education/images/themepost/img-16.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/themepost/img-16.jpg	(from http://mydesignhoard.com/HTML/html/education/newsgrid.html)
13:51:00	22797/22797	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:41%20GMT	http://mydesignhoard.com/HTML/html/education/images/themepost/img-15.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/themepost/img-15.jpg	(from http://mydesignhoard.com/HTML/html/education/newsgrid.html)
13:51:01	18972/18972	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:41%20GMT	http://mydesignhoard.com/HTML/html/education/images/themepost/img-17.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/themepost/img-17.jpg	(from http://mydesignhoard.com/HTML/html/education/newsgrid.html)
